streams,libsepol1, 109672,22,12/14.0
streams,libsemanage1, 71182,22,12/14.0
streams,libgnutls-deb0-28, 519072,48,11/14.0
streams,mount, 122490,3,3/14.0
streams,libisl13, 456262,2,1/14.0
streams,libplexus-interactivity-api-java, 14166,9,3/14.0
streams,libfontenc1, 13898,23,9/14.0
streams,procps, 212096,2,2/14.0
streams,nodejs, 683742,48,1/14.0
streams,libpixman-1-0, 237262,5,5/14.0
streams,libxml2, 691566,5,5/14.0
streams,libpython-dev, 7836,2,2/14.0
streams,file-rc,,3,3/14.0
streams,libice6, 39226,10,5/14.0
streams,libjpeg-turbo8, 104020,9,9/14.0
streams,libsasl2-2, 49018,17,9/14.0
streams,libxtables10, 26566,1,1/14.0
streams,node-node-uuid, 2530,1,1/14.0
streams,libkrb5support0, 30528,84,12/14.0
streams,coreutils, 1137758,12,10/14.0
streams,python2.7-dev, 270226,2,2/14.0
streams,libstdc++6, 392982,33,10/14.0
streams,python-html5lib, 83392,2,2/14.0
streams,libjs-underscore, 46666,1,1/14.0
streams,libgpm2, 16530,3,3/14.0
streams,libavahi-common-data, 21112,9,9/14.0
streams,node-underscore, 3780,1,1/14.0
streams,libxcb-dri3-0, 5394,5,5/14.0
streams,libpulse0, 243362,11,9/14.0
streams,node-forever-agent, 3194,1,1/14.0
streams,python2.7-minimal, 1262358,14,3/14.0
streams,libacl1, 16340,3,3/14.0
streams,libsisu-plexus-java, 181960,3,3/14.0
streams,libc-dev,,3,3/14.0
streams,libnfnetlink0, 13262,2,2/14.0
streams,libregexp-java, 35146,3,3/14.0
streams,libblkid1, 107258,4,3/14.0
streams,libplexus-cipher-java, 14536,6,3/14.0
streams,vim-common, 102918,3,3/14.0
streams,libnetfilter-conntrack3, 45872,1,1/14.0
streams,node-ansi-color-table, 4478,1,1/14.0
streams,cdebconf, 136432,2,2/14.0
streams,libubsan0, 100212,1,1/14.0
streams,libasyncns0, 12336,9,9/14.0
streams,libgpg-error0, 33228,12,10/14.0
streams,libxinerama1, 7908,13,5/14.0
streams,libquadmath0, 131332,1,1/14.0
streams,libmaven3-core-java, 1440834,3,3/14.0
streams,libxau6, 8376,10,9/14.0
streams,libdbus-1-3, 159534,33,10/14.0
streams,libx11-data, 113070,6,6/14.0
streams,libpam-modules, 245488,27,12/14.0
streams,libgdbm3, 16926,5,4/14.0
streams,libxcb-sync1, 8608,5,5/14.0
streams,ca-certificates, 203666,13,9/14.0
streams,readline-common, 51566,10,6/14.0
streams,libgtk2.0-0, 1774876,8,5/14.0
streams,libxmuu1, 9668,5,5/14.0
streams,node-sha, 4272,1,1/14.0
streams,python:any, 137338,24,3/14.0
streams,openjdk-6-jre-headless, 31107386,5,3/14.0
streams,shared-mime-info, 389278,5,5/14.0
streams,sysvinit-utils, 25566,7,3/14.0
streams,libavahi-client3, 25672,9,9/14.0
streams,junit4, 281186,6,3/14.0
streams,libatomic1, 8950,1,1/14.0
streams,openssh-client, 601118,4,2/14.0
streams,node-mute-stream, 4096,1,1/14.0
streams,libselinux1, 59214,89,12/14.0
streams,libitm1, 27428,1,1/14.0
streams,libvorbisenc2, 70396,9,9/14.0
streams,libsqlite3-0, 383568,40,11/14.0
streams,libkrb5-3, 274524,42,12/14.0
