nosql,libsasl2-2, 49018,127,73,155
nosql,libcilkrts5, 40050,86,33,155
nosql,comerr-dev, 38458,4,4,155
nosql,libgl1-mesa-dri, 4303846,45,26,155
nosql,libhogweed4, 134848,286,78,155
nosql,x11proto-dri2-dev, 12552,8,2,155
nosql,texlive-latex-recommended, 10167214,2,1,155
nosql,libshine3, 25138,2,1,155
nosql,libxft2, 36120,21,19,155
nosql,libmircommon5, 87194,10,4,155
nosql,libgnutls-deb0-28, 519072,390,78,155
nosql,gettext, 856688,2,1,155
nosql,libxml-commons-external-java, 245248,7,6,155
nosql,gettext-base, 48252,1,1,155
nosql,node-block-stream, 4832,4,2,155
nosql,po-debconf, 234176,1,1,155
nosql,libpython2.7-dev, 27726182,22,12,155
nosql,libboost-atomic1.58.0, 7138,1,1,155
nosql,libatk-bridge2.0-0, 52314,22,19,155
nosql,libopencv-core2.4,,4,2,155
nosql,fonts-sil-gentium-basic, 379134,1,1,155
nosql,ghc, 35577036,1,1,155
nosql,libptexenc1, 34644,4,1,155
nosql,gcc-multilib, 1100,1,1,155
nosql,libexpat1, 71438,395,106,155
nosql,make, 148946,73,30,155
nosql,libxshmfence1, 5042,37,26,155
nosql,x11vnc-data, 203386,1,1,155
nosql,lsb-base, 13094,215,80,155
nosql,base-passwd, 56258,2,2,155
nosql,libmnl0, 11970,1,1,155
nosql,libcupsimage2, 16254,4,1,155
nosql,libxtst6, 14086,47,20,155
nosql,fonts-dejavu-core, 1038624,47,28,155
nosql,libcunit1, 24756,3,3,155
nosql,libboost-mpi1.58.0, 48362,4,4,155
nosql,tex-common, 590884,16,1,155
nosql,openjdk-7-jre, 173272,13,10,155
nosql,libjs-jquery, 68984,2,2,155
nosql,fonts-freefont-ttf, 4140296,46,28,155
nosql,sensible-utils, 10502,186,113,155
nosql,libnss3-nssdb, 10640,30,20,155
nosql,libusb-0.1-4, 16926,26,22,155
nosql,python-pygments, 469086,1,1,155
nosql,libpython2.7-minimal, 337128,276,84,155
nosql,libaprutil1-ldap, 8788,3,3,155
nosql,libcogl-path20, 30278,2,2,155
nosql,libatk-wrapper-java, 34014,20,18,155
nosql,libncursesw5, 122280,227,101,155
nosql,libxpm4, 33124,32,21,155
nosql,liblua5.1-0, 101942,4,4,155
nosql,libqtwebkit4, 9009072,4,4,155
nosql,libx11-xcb1, 8956,64,26,155
nosql,libpoppler52, 749282,4,1,155
nosql,libschroedinger-1.0-0, 293418,4,3,155
nosql,libpython3-stdlib, 7014,34,22,155
nosql,fonts-comfortaa, 130770,1,1,155
nosql,node-minimatch, 13992,8,2,155
nosql,libcupsfilters1, 76646,4,1,155
nosql,libdrm-nouveau2, 14292,37,26,155
nosql,libeasymock-java, 88330,7,6,155
nosql,libinput10, 53644,2,2,155
nosql,libclutter-1.0-0, 526848,4,2,155
nosql,libsndfile1, 137396,34,23,155
nosql,libmodplug1, 152800,1,1,155
nosql,python3-pkg-resources, 41350,12,4,155
nosql,libice-dev, 44894,4,2,155
nosql,python, 137338,196,77,155
nosql,libssl-dev, 1347070,2,2,155
nosql,libdbus-glib-1-2, 66872,17,17,155
nosql,libpcrecpp0v5, 15384,4,2,155
nosql,librtmp1, 54702,122,70,155
nosql,libgtk-3-common, 196222,4,2,155
nosql,docbook-xsl, 2146476,1,1,155
nosql,libacl1, 16340,9,8,155
nosql,node-slide, 6118,2,2,155
nosql,libwagon-java, 132704,14,6,155
nosql,libplexus-ant-factory-java, 11230,7,6,155
nosql,node-fstream-ignore, 5586,2,2,155
nosql,libjsoup-java, 298002,14,6,155
nosql,libpam0g, 58110,356,103,155
nosql,libjcip-annotations-java, 11586,2,1,155
nosql,nginx-core, 380526,1,1,155
nosql,libxt6, 160320,84,23,155
nosql,emacs24-common, 12648702,1,1,155
nosql,libosgi-core-java, 147256,3,1,155
nosql,sysvinit-utils, 25566,111,36,155
nosql,libservlet2.5-java, 210316,12,6,155
nosql,psmisc, 47250,6,1,155
nosql,libsensors4, 28368,27,27,155
nosql,libjatl-java, 25590,1,1,155
nosql,libcr0, 18848,14,4,155
nosql,libv8-3.14.5, 1189430,17,11,155
nosql,libxcb-render0-dev, 15330,8,2,155
nosql,libfontconfig1, 126516,240,27,155
nosql,libglib2.0-0, 1107914,478,37,155
nosql,mesa-common-dev, 444950,4,2,155
nosql,ttf-bitstream-vera, 351754,45,28,155
nosql,libltdl-dev, 157658,8,4,155
nosql,libxerces2-java, 1362252,10,6,155
nosql,libcommons-dbcp-java, 147750,1,1,155
nosql,adduser, 161698,69,25,155
nosql,openmpi-common, 101148,12,4,155
nosql,libmemcached11, 83978,1,1,155
nosql,mysql-client-core-5.6, 4034718,7,7,155
nosql,libwagon2-java, 2023266,7,6,155
nosql,libcommons-logging-java, 59484,31,6,155
nosql,libfuse2, 90932,2,1,155
nosql,fonts-freefont-otf, 3067628,1,1,155
nosql,libxalan2-java, 3166282,7,6,155
nosql,linux-libc-dev, 810804,161,42,155
nosql,libapache-pom-java, 4022,26,6,155
nosql,libegl1-mesa-dev, 18226,8,2,155
nosql,node-once, 2608,4,2,155
nosql,libvisual-0.4-0, 88084,2,2,155
nosql,unattended-upgrades, 30320,19,17,155
nosql,libxaw7, 173220,25,19,155
nosql,libghc-binary-dev-0.7.1.0-bba5d,,1,1,155
nosql,libjdom1-java, 150448,7,6,155
nosql,libglu1-mesa, 195026,4,2,155
nosql,libgdk-pixbuf2.0-0, 157736,46,20,155
nosql,erlang-parsetools, 153324,7,6,155
nosql,libevent-extra-2.0-5, 51338,3,3,155
nosql,libgcrypt11,,4,2,155
nosql,libcrypto++9v5, 887528,2,2,155
nosql,libibverbs1, 24692,22,4,155
nosql,libxml-sax-base-perl, 21514,1,1,155
nosql,liblog4j1.2-java, 425200,7,6,155
nosql,libevent-pthreads-2.0-5, 5338,3,3,155
nosql,libmaven-parent-java, 5786,7,6,155
nosql,libx265-59, 681676,2,1,155
nosql,libstdc++-5-dev, 1423386,114,30,155
nosql,python3-html5lib, 79568,4,4,155
nosql,libasan2, 268774,86,33,155
nosql,libinotifytools0, 16990,1,1,155
nosql,libxcursor1, 22830,31,22,155
nosql,poppler-data, 1473284,4,1,155
nosql,libcglib3-java, 725534,14,6,155
nosql,liblcms2-2, 136966,54,22,155
nosql,node-read, 4314,2,2,155
nosql,node-combined-stream, 4958,2,2,155
nosql,libprotobuf-lite9v5, 58274,18,4,155
nosql,libxstream-java, 589074,3,2,155
nosql,libpcre3, 220412,764,135,155
nosql,fonts-dejavu-extra, 1748684,1,1,155
nosql,libstdc++-dev,,27,5,155
nosql,libvncserver1, 121988,1,1,155
nosql,libplexus-containers-java, 187156,35,6,155
nosql,libboost-regex1.58-dev, 321722,1,1,155
nosql,libaprutil1-dbd-sqlite3, 10678,3,3,155
nosql,libnspr4, 111864,76,24,155
nosql,libglib2.0-bin, 39446,4,2,155
nosql,libjansi-native-java, 35254,4,2,155
nosql,libwayland-server0, 26868,20,4,155
nosql,libpython-stdlib, 7754,132,84,155
nosql,python-apt, 143216,3,3,155
